epoch,grad_norm,learning_rate,loss
0.01848,26.71,4.909e-05,7.233
0.03695,75.27,4.816e-05,4.745
0.05543,68.59,4.724e-05,3.151
0.0739,125,4.631e-05,2.246
0.09238,77.02,4.539e-05,1.426
0.1109,81.42,4.447e-05,1.204
0.1293,95.2,4.354e-05,0.8
0.1478,150.3,4.262e-05,0.6617
0.1663,141.7,4.17e-05,0.5886
0.1848,83.55,4.077e-05,0.5078
0.2032,32.43,3.985e-05,0.4072
0.2217,124.2,3.892e-05,0.4233
0.2402,193.2,3.8e-05,0.3591
0.2587,170,3.708e-05,0.3114
0.2771,128,3.615e-05,0.2606
0.2956,1.922,3.523e-05,0.2652
0.3141,46.5,3.431e-05,0.3142
0.3326,0.1143,3.338e-05,0.252
0.351,0.0424,3.246e-05,0.2175
0.3695,0.4619,3.154e-05,0.2136
0.388,25.99,3.061e-05,0.2393
0.4065,0.01739,2.969e-05,0.1476
0.4249,118.2,2.876e-05,0.2235
0.4434,0.03395,2.784e-05,0.1638
0.4619,0.007688,2.692e-05,0.1338
0.4804,0.02536,2.599e-05,0.1338
0.4988,0.4841,2.507e-05,0.1538
0.5173,15.51,2.415e-05,0.1856
0.5358,0.01564,2.322e-05,0.1252
0.5543,721.9,2.23e-05,0.1247
0.5727,0.09611,2.137e-05,0.09208
0.5912,0.01149,2.045e-05,0.1078
0.6097,97.64,1.953e-05,0.1216
0.6282,0.008253,1.86e-05,0.138
0.6467,0.005787,1.768e-05,0.08104
0.6651,0.1041,1.676e-05,0.07259
0.6836,0.04793,1.583e-05,0.1076
0.7021,0.007392,1.491e-05,0.09734
0.7206,0.005693,1.398e-05,0.0392
0.739,0.01169,1.306e-05,0.07861
0.7575,0.7693,1.214e-05,0.07572
0.776,0.3787,1.121e-05,0.07614
0.7945,0.00558,1.029e-05,0.06099
0.8129,0.01491,9.366e-06,0.05253
0.8314,0.01066,8.443e-06,0.05972
0.8499,0.03347,7.519e-06,0.09358
0.8684,0.00994,6.595e-06,0.06426
0.8868,0.02451,5.672e-06,0.07126
0.9053,0.008669,4.748e-06,0.03532
0.9238,0.005695,3.824e-06,0.065
0.9423,0.006058,2.9e-06,0.05648
0.9607,0.9129,1.977e-06,0.03345
0.9792,0.009563,1.053e-06,0.0516
0.9977,0.02899,1.293e-07,0.02919
