epoch,grad_norm,learning_rate,loss
0.01848,28.05,4.909e-05,7.118
0.03695,63.78,4.816e-05,4.331
0.05543,68.99,4.724e-05,2.188
0.0739,122,4.631e-05,1.342
0.09238,63.7,4.539e-05,0.8222
0.1109,81.59,4.447e-05,0.6766
0.1293,48.79,4.354e-05,0.497
0.1478,91.4,4.262e-05,0.3847
0.1663,0.3102,4.17e-05,0.3496
0.1848,107.9,4.077e-05,0.3459
0.2032,142.4,3.985e-05,0.2787
0.2217,222.8,3.892e-05,0.355
0.2402,16.49,3.8e-05,0.2906
0.2587,71.1,3.708e-05,0.2811
0.2771,0.8796,3.615e-05,0.1943
0.2956,0.3824,3.523e-05,0.227
0.3141,81.32,3.431e-05,0.3051
0.3326,229.5,3.338e-05,0.194
0.351,0.004947,3.246e-05,0.1543
0.3695,14.32,3.154e-05,0.1023
0.388,80.14,3.061e-05,0.163
0.4065,0.007787,2.969e-05,0.1176
0.4249,0.08937,2.876e-05,0.1733
0.4434,0.4168,2.784e-05,0.1743
0.4619,0.001721,2.692e-05,0.1424
0.4804,0.001405,2.599e-05,0.108
0.4988,0.00155,2.507e-05,0.1372
0.5173,0.007412,2.415e-05,0.119
0.5358,0.003413,2.322e-05,0.1104
0.5543,0.002304,2.23e-05,0.06959
0.5727,0.06158,2.137e-05,0.05916
0.5912,0.001188,2.045e-05,0.09815
0.6097,5.239,1.953e-05,0.106
0.6282,0.05977,1.86e-05,0.06486
0.6467,0.1709,1.768e-05,0.09711
0.6651,138.4,1.676e-05,0.05009
0.6836,0.001205,1.583e-05,0.09968
0.7021,21.76,1.491e-05,0.04171
0.7206,0.001127,1.398e-05,0.03346
0.739,0.0007125,1.306e-05,0.06326
0.7575,0.001075,1.214e-05,0.0664
0.776,0.001109,1.121e-05,0.05804
0.7945,15.25,1.029e-05,0.02031
0.8129,0.001851,9.366e-06,0.0251
0.8314,0.00104,8.443e-06,0.0311
0.8499,0.001995,7.519e-06,0.06949
0.8684,0.001151,6.595e-06,0.04377
0.8868,0.001076,5.672e-06,0.01779
0.9053,0.0008452,4.748e-06,0.03699
0.9238,0.001477,3.824e-06,0.02755
0.9423,0.001103,2.9e-06,0.02195
0.9607,0.001188,1.977e-06,0.02626
0.9792,0.001303,1.053e-06,0.0458
0.9977,445.2,1.293e-07,0.02388
